"","Age","Province","education_level","counts","estimate","prediction"
"1",29.5,"Newfoundland and Labrador","Below high school",4585,0.460156665550968,"Conservative"
"2",29.5,"Newfoundland and Labrador","High School",12790,0.493624207896415,"Conservative"
"3",29.5,"Newfoundland and Labrador","College",7135,0.474329275300589,"Conservative"
"4",29.5,"Newfoundland and Labrador","College",15935,0.474329275300589,"Conservative"
"5",29.5,"Newfoundland and Labrador","College",1265,0.474329275300589,"Conservative"
"6",29.5,"Newfoundland and Labrador","At or above Bachelor",15715,0.605120450860972,"Liberal"
"7",29.5,"Newfoundland and Labrador","Below high school",2615,0.460156665550968,"Conservative"
"8",29.5,"Newfoundland and Labrador","High School",6440,0.493624207896415,"Conservative"
"9",29.5,"Newfoundland and Labrador","College",5420,0.474329275300589,"Conservative"
"10",29.5,"Newfoundland and Labrador","College",7030,0.474329275300589,"Conservative"
"11",29.5,"Newfoundland and Labrador","College",645,0.474329275300589,"Conservative"
"12",29.5,"Newfoundland and Labrador","At or above Bachelor",5800,0.605120450860972,"Liberal"
"13",29.5,"Newfoundland and Labrador","Below high school",1970,0.460156665550968,"Conservative"
"14",29.5,"Newfoundland and Labrador","High School",6345,0.493624207896415,"Conservative"
"15",29.5,"Newfoundland and Labrador","College",1720,0.474329275300589,"Conservative"
"16",29.5,"Newfoundland and Labrador","College",8910,0.474329275300589,"Conservative"
"17",29.5,"Newfoundland and Labrador","College",620,0.474329275300589,"Conservative"
"18",29.5,"Newfoundland and Labrador","At or above Bachelor",9910,0.605120450860972,"Liberal"
"19",39.5,"Newfoundland and Labrador","Below high school",6615,0.448431468854544,"Conservative"
"20",39.5,"Newfoundland and Labrador","High School",13250,0.481899011199991,"Conservative"
"21",39.5,"Newfoundland and Labrador","College",7405,0.462604078604166,"Conservative"
"22",39.5,"Newfoundland and Labrador","College",21265,0.462604078604166,"Conservative"
"23",39.5,"Newfoundland and Labrador","College",1490,0.462604078604166,"Conservative"
"24",39.5,"Newfoundland and Labrador","At or above Bachelor",15005,0.593395254164548,"Liberal"
"25",39.5,"Newfoundland and Labrador","Below high school",3895,0.448431468854544,"Conservative"
"26",39.5,"Newfoundland and Labrador","High School",6425,0.481899011199991,"Conservative"
"27",39.5,"Newfoundland and Labrador","College",5600,0.462604078604166,"Conservative"
"28",39.5,"Newfoundland and Labrador","College",8905,0.462604078604166,"Conservative"
"29",39.5,"Newfoundland and Labrador","College",670,0.462604078604166,"Conservative"
"30",39.5,"Newfoundland and Labrador","At or above Bachelor",5900,0.593395254164548,"Liberal"
"31",39.5,"Newfoundland and Labrador","Below high school",2715,0.448431468854544,"Conservative"
"32",39.5,"Newfoundland and Labrador","High School",6830,0.481899011199991,"Conservative"
"33",39.5,"Newfoundland and Labrador","College",1810,0.462604078604166,"Conservative"
"34",39.5,"Newfoundland and Labrador","College",12360,0.462604078604166,"Conservative"
"35",39.5,"Newfoundland and Labrador","College",820,0.462604078604166,"Conservative"
"36",39.5,"Newfoundland and Labrador","At or above Bachelor",9095,0.593395254164548,"Liberal"
"37",49.5,"Newfoundland and Labrador","Below high school",13950,0.436706272158121,"Conservative"
"38",49.5,"Newfoundland and Labrador","High School",17530,0.470173814503567,"Conservative"
"39",49.5,"Newfoundland and Labrador","College",10475,0.450878881907742,"Conservative"
"40",49.5,"Newfoundland and Labrador","College",24730,0.450878881907742,"Conservative"
"41",49.5,"Newfoundland and Labrador","College",1835,0.450878881907742,"Conservative"
"42",49.5,"Newfoundland and Labrador","At or above Bachelor",12410,0.581670057468124,"Liberal"
"43",49.5,"Newfoundland and Labrador","Below high school",7610,0.436706272158121,"Conservative"
"44",49.5,"Newfoundland and Labrador","High School",7990,0.470173814503567,"Conservative"
"45",49.5,"Newfoundland and Labrador","College",7490,0.450878881907742,"Conservative"
"46",49.5,"Newfoundland and Labrador","College",10075,0.450878881907742,"Conservative"
"47",49.5,"Newfoundland and Labrador","College",780,0.450878881907742,"Conservative"
"48",49.5,"Newfoundland and Labrador","At or above Bachelor",5250,0.581670057468124,"Liberal"
"49",49.5,"Newfoundland and Labrador","Below high school",6335,0.436706272158121,"Conservative"
"50",49.5,"Newfoundland and Labrador","High School",9535,0.470173814503567,"Conservative"
"51",49.5,"Newfoundland and Labrador","College",2980,0.450878881907742,"Conservative"
"52",49.5,"Newfoundland and Labrador","College",14655,0.450878881907742,"Conservative"
"53",49.5,"Newfoundland and Labrador","College",1065,0.450878881907742,"Conservative"
"54",49.5,"Newfoundland and Labrador","At or above Bachelor",7160,0.581670057468124,"Liberal"
"55",59.5,"Newfoundland and Labrador","Below high school",20020,0.424981075461697,"Conservative"
"56",59.5,"Newfoundland and Labrador","High School",21640,0.458448617807144,"Conservative"
"57",59.5,"Newfoundland and Labrador","College",11060,0.439153685211318,"Conservative"
"58",59.5,"Newfoundland and Labrador","College",20020,0.439153685211318,"Conservative"
"59",59.5,"Newfoundland and Labrador","College",2085,0.439153685211318,"Conservative"
"60",59.5,"Newfoundland and Labrador","At or above Bachelor",9665,0.569944860771701,"Liberal"
"61",59.5,"Newfoundland and Labrador","Below high school",9845,0.424981075461697,"Conservative"
"62",59.5,"Newfoundland and Labrador","High School",9445,0.458448617807144,"Conservative"
"63",59.5,"Newfoundland and Labrador","College",7965,0.439153685211318,"Conservative"
"64",59.5,"Newfoundland and Labrador","College",8170,0.439153685211318,"Conservative"
"65",59.5,"Newfoundland and Labrador","College",875,0.439153685211318,"Conservative"
"66",59.5,"Newfoundland and Labrador","At or above Bachelor",4805,0.569944860771701,"Liberal"
"67",59.5,"Newfoundland and Labrador","Below high school",10175,0.424981075461697,"Conservative"
"68",59.5,"Newfoundland and Labrador","High School",12195,0.458448617807144,"Conservative"
"69",59.5,"Newfoundland and Labrador","College",3095,0.439153685211318,"Conservative"
"70",59.5,"Newfoundland and Labrador","College",11855,0.439153685211318,"Conservative"
"71",59.5,"Newfoundland and Labrador","College",1205,0.439153685211318,"Conservative"
"72",59.5,"Newfoundland and Labrador","At or above Bachelor",4860,0.569944860771701,"Liberal"
"73",29.5,"Prince Edward Island","Below high school",1000,0.460156665550968,"Conservative"
"74",29.5,"Prince Edward Island","High School",4025,0.493624207896415,"Conservative"
"75",29.5,"Prince Edward Island","College",845,0.474329275300589,"Conservative"
"76",29.5,"Prince Edward Island","College",4005,0.474329275300589,"Conservative"
"77",29.5,"Prince Edward Island","College",260,0.474329275300589,"Conservative"
"78",29.5,"Prince Edward Island","At or above Bachelor",5020,0.605120450860972,"Liberal"
"79",29.5,"Prince Edward Island","Below high school",590,0.460156665550968,"Conservative"
"80",29.5,"Prince Edward Island","High School",2450,0.493624207896415,"Conservative"
"81",29.5,"Prince Edward Island","College",600,0.474329275300589,"Conservative"
"82",29.5,"Prince Edward Island","College",1685,0.474329275300589,"Conservative"
"83",29.5,"Prince Edward Island","College",105,0.474329275300589,"Conservative"
"84",29.5,"Prince Edward Island","At or above Bachelor",1945,0.605120450860972,"Liberal"
"85",29.5,"Prince Edward Island","Below high school",405,0.460156665550968,"Conservative"
"86",29.5,"Prince Edward Island","High School",1575,0.493624207896415,"Conservative"
"87",29.5,"Prince Edward Island","College",245,0.474329275300589,"Conservative"
"88",29.5,"Prince Edward Island","College",2320,0.474329275300589,"Conservative"
"89",29.5,"Prince Edward Island","College",155,0.474329275300589,"Conservative"
"90",29.5,"Prince Edward Island","At or above Bachelor",3075,0.605120450860972,"Liberal"
"91",39.5,"Prince Edward Island","Below high school",1275,0.448431468854544,"Conservative"
"92",39.5,"Prince Edward Island","High School",3890,0.481899011199991,"Conservative"
"93",39.5,"Prince Edward Island","College",1155,0.462604078604166,"Conservative"
"94",39.5,"Prince Edward Island","College",5505,0.462604078604166,"Conservative"
"95",39.5,"Prince Edward Island","College",420,0.462604078604166,"Conservative"
"96",39.5,"Prince Edward Island","At or above Bachelor",4580,0.593395254164548,"Liberal"
"97",39.5,"Prince Edward Island","Below high school",830,0.448431468854544,"Conservative"
"98",39.5,"Prince Edward Island","High School",2070,0.481899011199991,"Conservative"
"99",39.5,"Prince Edward Island","College",775,0.462604078604166,"Conservative"
"100",39.5,"Prince Edward Island","College",2405,0.462604078604166,"Conservative"
"101",39.5,"Prince Edward Island","College",215,0.462604078604166,"Conservative"
"102",39.5,"Prince Edward Island","At or above Bachelor",1590,0.593395254164548,"Liberal"
"103",39.5,"Prince Edward Island","Below high school",445,0.448431468854544,"Conservative"
"104",39.5,"Prince Edward Island","High School",1820,0.481899011199991,"Conservative"
"105",39.5,"Prince Edward Island","College",380,0.462604078604166,"Conservative"
"106",39.5,"Prince Edward Island","College",3100,0.462604078604166,"Conservative"
"107",39.5,"Prince Edward Island","College",210,0.462604078604166,"Conservative"
"108",39.5,"Prince Edward Island","At or above Bachelor",2980,0.593395254164548,"Liberal"
"109",49.5,"Prince Edward Island","Below high school",2700,0.436706272158121,"Conservative"
"110",49.5,"Prince Edward Island","High School",5050,0.470173814503567,"Conservative"
"111",49.5,"Prince Edward Island","College",1865,0.450878881907742,"Conservative"
"112",49.5,"Prince Edward Island","College",6010,0.450878881907742,"Conservative"
"113",49.5,"Prince Edward Island","College",525,0.450878881907742,"Conservative"
"114",49.5,"Prince Edward Island","At or above Bachelor",4435,0.581670057468124,"Liberal"
"115",49.5,"Prince Edward Island","Below high school",1810,0.436706272158121,"Conservative"
"116",49.5,"Prince Edward Island","High School",2565,0.470173814503567,"Conservative"
"117",49.5,"Prince Edward Island","College",1335,0.450878881907742,"Conservative"
"118",49.5,"Prince Edward Island","College",2280,0.450878881907742,"Conservative"
"119",49.5,"Prince Edward Island","College",175,0.450878881907742,"Conservative"
"120",49.5,"Prince Edward Island","At or above Bachelor",1830,0.581670057468124,"Liberal"
"121",49.5,"Prince Edward Island","Below high school",895,0.436706272158121,"Conservative"
"122",49.5,"Prince Edward Island","High School",2485,0.470173814503567,"Conservative"
"123",49.5,"Prince Edward Island","College",525,0.450878881907742,"Conservative"
"124",49.5,"Prince Edward Island","College",3730,0.450878881907742,"Conservative"
"125",49.5,"Prince Edward Island","College",345,0.450878881907742,"Conservative"
"126",49.5,"Prince Edward Island","At or above Bachelor",2605,0.581670057468124,"Liberal"
"127",59.5,"Prince Edward Island","Below high school",3970,0.424981075461697,"Conservative"
"128",59.5,"Prince Edward Island","High School",5705,0.458448617807144,"Conservative"
"129",59.5,"Prince Edward Island","College",2390,0.439153685211318,"Conservative"
"130",59.5,"Prince Edward Island","College",5450,0.439153685211318,"Conservative"
"131",59.5,"Prince Edward Island","College",650,0.439153685211318,"Conservative"
"132",59.5,"Prince Edward Island","At or above Bachelor",3580,0.569944860771701,"Liberal"
"133",59.5,"Prince Edward Island","Below high school",2315,0.424981075461697,"Conservative"
"134",59.5,"Prince Edward Island","High School",2650,0.458448617807144,"Conservative"
"135",59.5,"Prince Edward Island","College",1735,0.439153685211318,"Conservative"
"136",59.5,"Prince Edward Island","College",1865,0.439153685211318,"Conservative"
"137",59.5,"Prince Edward Island","College",225,0.439153685211318,"Conservative"
"138",59.5,"Prince Edward Island","At or above Bachelor",1570,0.569944860771701,"Liberal"
"139",59.5,"Prince Edward Island","Below high school",1655,0.424981075461697,"Conservative"
"140",59.5,"Prince Edward Island","High School",3055,0.458448617807144,"Conservative"
"141",59.5,"Prince Edward Island","College",660,0.439153685211318,"Conservative"
"142",59.5,"Prince Edward Island","College",3590,0.439153685211318,"Conservative"
"143",59.5,"Prince Edward Island","College",430,0.439153685211318,"Conservative"
"144",59.5,"Prince Edward Island","At or above Bachelor",2010,0.569944860771701,"Liberal"
"145",29.5,"Nova Scotia","Below high school",7730,0.460156665550968,"Conservative"
"146",29.5,"Nova Scotia","High School",25715,0.493624207896415,"Conservative"
"147",29.5,"Nova Scotia","College",8205,0.474329275300589,"Conservative"
"148",29.5,"Nova Scotia","College",25990,0.474329275300589,"Conservative"
"149",29.5,"Nova Scotia","College",1775,0.474329275300589,"Conservative"
