"","Age","education_level","Province","cps19_votechoice"
"1",19,"High School","Ontario",1
"2",21,"High School","Ontario",0
"3",20,"High School","Ontario",1
"4",21,"High School","Ontario",1
"5",19,"High School","Ontario",1
"6",21,"High School","Ontario",0
"7",20,"High School","Ontario",1
"8",19,"High School","Ontario",1
"9",21,"High School","Ontario",1
"10",19,"High School","Ontario",1
"11",19,"High School","Ontario",1
"12",19,"High School","Ontario",0
"13",24,"High School","Ontario",1
"14",20,"High School","Ontario",1
"15",19,"High School","Ontario",1
"16",20,"High School","Ontario",1
"17",19,"High School","Ontario",1
"18",19,"Below high school","Ontario",1
"19",20,"High School","Ontario",0
"20",24,"High School","Ontario",1
"21",19,"Below high school","Ontario",1
"22",19,"High School","Ontario",1
"23",22,"High School","Ontario",1
"24",19,"High School","Ontario",0
"25",19,"High School","Ontario",1
"26",21,"High School","Ontario",0
"27",21,"High School","Ontario",1
"28",19,"High School","Ontario",1
"29",21,"High School","Ontario",1
"30",20,"High School","Ontario",1
"31",21,"High School","Ontario",1
"32",20,"High School","Ontario",1
"33",19,"High School","Ontario",1
"34",19,"High School","Ontario",1
"35",21,"High School","Ontario",1
"36",19,"High School","Ontario",1
"37",19,"High School","Ontario",1
"38",20,"High School","Ontario",1
"39",21,"High School","Ontario",1
"40",20,"High School","Ontario",0
"41",22,"At or above Bachelor","Ontario",1
"42",19,"High School","Ontario",0
"43",63,"College","Quebec",1
"44",59,"At or above Bachelor","British Columbia",0
"45",60,"High School","Ontario",1
"46",29,"At or above Bachelor","Ontario",1
"47",65,"At or above Bachelor","Alberta",0
"48",63,"High School","Saskatchewan",0
"49",44,"High School","Quebec",0
"50",65,"At or above Bachelor","British Columbia",1
"51",62,"At or above Bachelor","Ontario",0
"52",42,"At or above Bachelor","Alberta",1
"53",32,"At or above Bachelor","Ontario",1
"54",59,"At or above Bachelor","Ontario",1
"55",34,"College","Ontario",1
"56",67,"At or above Bachelor","British Columbia",1
"57",47,"At or above Bachelor","Ontario",0
"58",30,"At or above Bachelor","Ontario",1
"59",59,"High School","Quebec",0
"60",65,"High School","Ontario",1
"61",47,"College","Alberta",0
"62",64,"At or above Bachelor","Manitoba",1
"63",64,"College","Newfoundland and Labrador",0
"64",49,"At or above Bachelor","Alberta",1
"65",65,"College","Saskatchewan",1
"66",76,"College","Quebec",1
"67",55,"At or above Bachelor","Quebec",0
"68",63,"At or above Bachelor","Saskatchewan",0
"69",38,"At or above Bachelor","Ontario",0
"70",68,"High School","British Columbia",0
"71",67,"At or above Bachelor","Alberta",0
"72",59,"At or above Bachelor","Quebec",0
"73",28,"At or above Bachelor","Ontario",1
"74",63,"High School","Ontario",1
"75",61,"At or above Bachelor","Alberta",0
"76",29,"At or above Bachelor","Quebec",0
"77",73,"High School","Ontario",0
"78",69,"Below high school","Ontario",0
"79",49,"College","Quebec",1
"80",62,"High School","Ontario",0
"81",47,"At or above Bachelor","Nova Scotia",0
"82",54,"At or above Bachelor","Ontario",1
"83",41,"College","Manitoba",1
"84",34,"At or above Bachelor","Alberta",0
"85",66,"High School","British Columbia",0
"86",48,"High School","Quebec",1
"87",68,"At or above Bachelor","British Columbia",1
"88",53,"High School","Ontario",1
"89",68,"High School","Nova Scotia",1
"90",65,"High School","Quebec",1
"91",28,"At or above Bachelor","Quebec",1
"92",35,"College","Ontario",1
"93",34,"At or above Bachelor","New Brunswick",1
"94",56,"At or above Bachelor","Alberta",0
"95",28,"At or above Bachelor","Ontario",0
"96",68,"High School","Quebec",1
"97",39,"At or above Bachelor","Ontario",0
"98",61,"High School","Alberta",1
"99",74,"High School","Ontario",1
"100",54,"High School","Manitoba",0
"101",40,"At or above Bachelor","Manitoba",1
"102",60,"High School","Manitoba",0
"103",54,"At or above Bachelor","British Columbia",1
"104",59,"College","Quebec",0
"105",67,"At or above Bachelor","Ontario",0
"106",51,"At or above Bachelor","Ontario",0
"107",56,"High School","Quebec",0
"108",60,"At or above Bachelor","Quebec",1
"109",81,"At or above Bachelor","Ontario",0
"110",63,"High School","Ontario",0
"111",65,"College","Ontario",0
"112",72,"College","Quebec",0
"113",81,"Below high school","Ontario",0
"114",37,"At or above Bachelor","Ontario",0
"115",49,"At or above Bachelor","Ontario",1
"116",81,"High School","Ontario",0
"117",73,"High School","Ontario",1
"118",53,"At or above Bachelor","Ontario",0
"119",80,"College","Ontario",0
"120",25,"At or above Bachelor","Ontario",1
"121",36,"At or above Bachelor","Ontario",1
"122",60,"High School","Ontario",0
"123",58,"At or above Bachelor","Ontario",0
"124",63,"At or above Bachelor","Quebec",1
"125",19,"High School","Ontario",1
"126",64,"High School","Quebec",0
"127",62,"At or above Bachelor","Ontario",0
"128",66,"College","Ontario",1
"129",60,"College","Ontario",1
"130",55,"At or above Bachelor","Quebec",0
"131",74,"College","Ontario",1
"132",73,"At or above Bachelor","Ontario",0
"133",42,"Below high school","Quebec",1
"134",36,"High School","Ontario",1
"135",50,"At or above Bachelor","Ontario",0
"136",82,"At or above Bachelor","Ontario",1
"137",42,"At or above Bachelor","Ontario",1
"138",32,"At or above Bachelor","Alberta",0
"139",56,"At or above Bachelor","Ontario",1
"140",60,"At or above Bachelor","Ontario",1
"141",64,"At or above Bachelor","Newfoundland and Labrador",0
"142",28,"At or above Bachelor","Ontario",1
"143",72,"At or above Bachelor","Ontario",1
"144",40,"At or above Bachelor","Ontario",0
"145",78,"At or above Bachelor","Ontario",1
"146",59,"High School","Quebec",0
"147",39,"At or above Bachelor","Ontario",0
"148",45,"At or above Bachelor","British Columbia",1
"149",47,"High School","Quebec",0
"150",68,"High School","New Brunswick",0
"151",43,"High School","Ontario",0
"152",62,"At or above Bachelor","Quebec",0
"153",68,"High School","Ontario",1
"154",62,"At or above Bachelor","Quebec",0
"155",33,"High School","Ontario",1
"156",79,"College","New Brunswick",0
"157",34,"High School","Prince Edward Island",0
"158",47,"At or above Bachelor","Ontario",1
"159",46,"At or above Bachelor","Ontario",0
"160",36,"Below high school","Alberta",1
"161",30,"At or above Bachelor","Ontario",1
"162",52,"At or above Bachelor","Ontario",1
"163",74,"High School","Ontario",0
"164",71,"At or above Bachelor","Ontario",1
"165",65,"High School","Nova Scotia",0
"166",86,"At or above Bachelor","Ontario",1
"167",73,"At or above Bachelor","Ontario",1
"168",72,"High School","Ontario",0
"169",61,"At or above Bachelor","Prince Edward Island",1
"170",57,"College","Ontario",0
"171",31,"High School","Newfoundland and Labrador",1
"172",63,"At or above Bachelor","Ontario",1
"173",72,"High School","Ontario",1
"174",53,"High School","Ontario",0
"175",23,"At or above Bachelor","Alberta",0
"176",59,"At or above Bachelor","Newfoundland and Labrador",1
"177",73,"Below high school","Ontario",1
"178",69,"High School","Quebec",1
"179",57,"At or above Bachelor","Quebec",1
"180",50,"At or above Bachelor","Ontario",1
"181",73,"High School","Newfoundland and Labrador",0
"182",52,"High School","Quebec",0
"183",79,"High School","Nova Scotia",0
"184",70,"At or above Bachelor","Ontario",1
"185",99,"At or above Bachelor","Ontario",1
"186",65,"High School","Quebec",0
"187",64,"College","New Brunswick",0
"188",39,"At or above Bachelor","Quebec",1
"189",35,"College","Alberta",0
"190",67,"At or above Bachelor","Ontario",1
"191",69,"At or above Bachelor","Ontario",0
"192",61,"High School","Ontario",1
"193",56,"At or above Bachelor","Ontario",0
"194",32,"At or above Bachelor","Ontario",1
"195",63,"College","Ontario",1
"196",76,"College","Ontario",0
"197",59,"High School","Quebec",1
"198",60,"High School","Quebec",0
"199",56,"High School","Quebec",1
"200",61,"At or above Bachelor","Ontario",1
"201",61,"At or above Bachelor","Ontario",1
"202",68,"High School","Ontario",1
"203",39,"College","Ontario",0
"204",38,"High School","Quebec",0
"205",45,"College","Quebec",0
"206",50,"College","New Brunswick",1
